t,phase,target_waypoint,x_wp,y_wp,yaw_wp,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos,vx_real,vx_ref,vx_cmd_eff,vy_cmd_eff,wz_cmd_eff
12.704,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38112,0.0,0.35831268659944865,-0.023558282975419603,0.30858882417574046,0.022807313400551366,0.023558282975419603,0.03278972767957848,0.008721162882155364,0.03,0.047826872473264365,0.007243743397864331,0.0
12.706,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38117999999999996,0.0,0.3584047600719557,-0.023655171352662367,0.3085984547601757,0.022775239928044255,0.023655171352662367,0.032837154040869614,0.010586941550725353,0.03,0.04781999286713399,0.007269148250742655,0.0
12.708,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38123999999999997,0.0,0.3585011254396732,-0.023748584487237774,0.30861075918616865,0.02273887456032675,0.023748584487237774,0.032879350380105525,0.012466728666126036,0.03,0.04781203846893263,0.0072936889636108695,0.0
12.71,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38130000000000003,0.0,0.358601778272433,-0.02383847514994856,0.30862570231164543,0.022698221727567025,0.02383847514994856,0.03291629029931093,0.014359713051813505,0.03,0.04780301017182908,0.0073173535530460625,0.0
12.712,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38136,0.0,0.35870671357291123,-0.023924796892004916,0.30864325262466974,0.022653286427088748,0.023924796892004916,0.03294794822551795,0.016265109911179937,0.03,0.047792909011030865,0.007340130228404753,0.0
12.714,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38142,0.0,0.3588159264053844,-0.02400750432674971,0.3086633805451018,0.02260407359461558,0.02400750432674971,0.03297429918997072,0.018182175227449308,0.03,0.0477817360065923,0.007362007462307288,0.0
12.716000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38148000000000004,0.0,0.35892941143450335,-0.02408655494127099,0.3086860540232164,0.022550588565496688,0.02408655494127099,0.032995320480170766,0.020110192194049737,0.03,0.047769492278740854,0.007382974443684673,0.0
12.718,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38154,0.0,0.3590471622947976,-0.024161906999911435,0.3087112451327033,0.022492837705202384,0.024161906999911435,0.033010990562310355,0.022048454091705187,0.03,0.047756179205552536,0.007403020553694779,0.0
12.72,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3816,0.0,0.3591691612839427,-0.024233490075747245,0.3087390354103307,0.022430838716057278,0.024233490075747245,0.03302127445688786,0.02399600611574669,0.03,0.04774180100020206,0.007422127997157519,0.0
12.722,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38166,0.0,0.35929539723107096,-0.024301237004896135,0.308769479363448,0.022364602768929043,0.024301237004896135,0.03302613475688795,0.025952104488167083,0.03,0.047726360243558454,0.007440279791294986,0.0
12.724,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38172,0.0,0.359425862519424,-0.024365082926982525,0.30880261407715026,0.022294137480576015,0.024365082926982525,0.03302553303190669,0.02791613147258344,0.03,0.047709858628344225,0.0074574595259629325,0.0
12.726,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38178,0.0,0.3595605732358034,-0.02442497192941836,0.30883843983325654,0.02221942676419658,0.02442497192941836,0.03301942124693239,0.029888092808439095,0.03,0.047692291920587576,0.0074736530251683616,0.0
12.728,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38183999999999996,0.0,0.35969955143391924,-0.024480849350426562,0.30887694794395254,0.022140448566080717,0.024480849350426562,0.03300774829680974,0.0318681431209144,0.03,0.04767365439348691,0.007488846422887934,0.0
